521.22,247.27,508.72,247,489.71,250.78,452.47,250.39,438.93,247.79,420.96,250.78
538.15,253.25,524.35,252.21,506.77,256.64,469.14,255.6,454.3,252.47,436.85,254.43
532.94,256.25,517.06,255.47,501.04,259.64,463.8,258.46,446.36,254.95,430.6,256.64
524.09,260.16,505.34,257.94,490.36,261.59,453.13,259.77,434.25,255.99,420.05,257.55
518.1,260.42,497.14,258.07,484.64,261.33,447,259.64,425.65,255.08,413.8,256.51
517.97,262.24,497.92,260.29,484.77,262.63,447.53,260.81,426.3,258.33,414.45,259.11
519.79,262.5,502.61,261.2,487.24,263.15,449.87,261.07,431.38,258.07,417.71,259.11
522,262.37,507.03,261.59,489.58,264.06,451.95,261.33,435.42,259.11,419.66,260.16
525.91,261.85,514.06,261.2,493.49,263.41,455.6,260.42,442.58,257.81,423.83,260.03
528.64,263.8,515.5,264.19,496.88,264.58,458.86,261.85,444.79,261.33,424.87,261.46
528.91,263.93,513.54,263.8,496.22,264.32,458.46,261.72,442.32,260.81,424.22,261.33
527.34,264.58,509.5,263.41,494.27,264.71,456.51,262.76,438.67,261.59,422.39,261.07
527.34,264.58,509.5,263.41,494.27,264.71,456.51,262.76,438.67,261.59,422.39,261.07
528.91,263.93,513.54,263.8,496.22,264.32,458.46,261.72,442.32,260.81,424.22,261.33
528.64,263.8,515.5,264.19,496.88,264.58,458.86,261.85,444.79,261.33,424.87,261.46
525.91,261.85,514.06,261.2,493.49,263.41,455.6,260.42,442.58,257.81,423.83,260.03
522,262.37,507.03,261.59,489.58,264.06,451.95,261.33,435.42,259.11,419.66,260.16
519.79,262.5,502.61,261.2,487.24,263.15,449.87,261.07,431.38,258.07,417.71,259.11
517.97,262.24,497.92,260.29,484.77,262.63,447.53,260.81,426.3,258.33,414.45,259.11
518.1,260.42,497.14,258.07,484.64,261.33,447,259.64,425.65,255.08,413.8,256.51
524.09,260.16,505.34,257.94,490.36,261.59,453.13,259.77,434.25,255.99,420.05,257.55
532.94,256.25,517.06,255.47,501.04,259.64,463.8,258.46,446.36,254.95,430.6,256.64
538.15,253.25,524.35,252.21,506.77,256.64,469.14,255.6,454.3,252.47,436.85,254.43
521.22,247.27,508.72,247,489.71,250.78,452.47,250.39,438.93,247.79,420.96,250.78
